t,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ
20532322,-0.03,0.01,0.59,33.19,0.56,-1.11,33.04,-2.72,-32.67
20581028,-0.13,-0.04,0.62,10.98,31.20,1.58,33.61,-1.81,-33.18
20631392,-0.00,0.00,0.93,19.95,1.48,10.24,33.29,-1.14,-31.59
20681882,-0.03,-0.01,0.99,-5.75,-10.18,13.23,32.59,-1.17,-30.76
20730567,-0.10,-0.14,1.03,1.40,-5.85,10.06,31.47,-0.65,-30.08
20781233,-0.06,-0.07,1.16,13.42,19.12,5.85,31.19,-0.38,-29.42
20831380,-0.02,-0.04,1.30,12.50,59.28,-1.23,33.18,0.90,-27.47
20881587,-0.01,-0.03,1.26,11.16,-16.16,2.06,35.01,0.04,-27.23
20930174,-0.01,0.04,1.12,3.10,-25.93,-3.92,35.34,-0.88,-26.50
20980474,0.03,-0.06,1.28,-0.25,10.63,3.65,36.15,-0.45,-26.51
21030517,0.10,-0.06,1.24,-79.17,107.44,-12.71,35.44,0.24,-25.79
21080113,-0.08,-0.06,1.01,7.01,4.04,1.88,36.73,-0.96,-25.50
21129907,-0.06,0.06,1.43,5.00,-29.71,-4.16,36.66,-1.14,-25.06
21180882,-0.01,0.06,1.52,-0.80,-2.73,4.87,35.73,-0.96,-26.73
21229917,-0.04,-0.09,1.48,-11.97,0.44,-2.64,34.16,-0.62,-26.53
21280605,-0.04,-0.07,1.09,0.72,6.97,-4.71,32.98,0.61,-27.84
21329711,0.04,0.06,1.11,-12.83,-7.37,-6.48,32.57,0.72,-30.43
21379999,-0.03,-0.01,1.00,-30.04,-19.15,-3.12,32.89,-1.12,-31.43
21428876,0.01,-0.13,0.77,-11.42,-0.54,-1.05,33.68,-2.33,-32.29
21479162,0.02,-0.09,0.88,-1.60,13.62,-4.47,34.16,-2.42,-31.69
21529825,0.00,-0.04,0.76,-22.04,6.24,0.11,35.60,-3.28,-30.93
21578764,0.02,0.00,0.68,-12.46,-18.36,-7.15,35.44,-4.64,-31.56
21629703,0.01,0.08,0.57,-13.68,-9.57,-3.67,35.62,-5.27,-31.73
21678369,-0.01,0.09,0.55,-4.34,-41.55,-1.54,34.61,-5.60,-31.86
21729413,-0.06,0.10,0.61,11.71,-14.63,2.80,33.76,-5.49,-31.92
21778714,-0.06,0.06,0.71,22.51,29.68,5.05,33.56,-4.28,-32.35
21828005,-0.05,0.01,0.75,10.49,52.38,7.37,34.18,-3.37,-31.79
21878591,-0.05,-0.07,0.83,-8.07,7.22,5.05,34.34,-3.65,-31.85
21927469,0.01,-0.01,0.84,23.25,0.38,9.82,34.62,-3.32,-30.81
21977788,-0.06,0.04,1.02,-0.86,2.58,-1.78,33.51,-3.53,-30.33
22028335,0.00,0.00,1.04,11.53,13.26,-4.77,34.39,-2.33,-30.04
22078307,0.00,0.19,1.26,4.39,-12.32,-8.80,33.94,-1.94,-27.71
22128403,-0.03,-0.07,1.08,25.38,20.22,-2.33,35.25,-1.66,-27.26
22177335,0.08,-0.01,1.25,6.40,-3.53,-1.29,36.79,-1.86,-26.48
22227509,0.01,-0.24,1.07,-0.86,34.50,14.27,38.42,-2.78,-26.34
22277536,-0.04,-0.03,1.04,2.98,0.14,-1.48,37.29,-1.72,-27.11
22326403,-0.03,0.02,1.05,1.40,0.99,6.46,37.85,-2.32,-25.57
